dataset_key,model_key,topic_proxy,sentiment,ngram_n,phrase,count,rank,group_total_count
all,bertimbau,delivery,negative,1,delivered,559,1,27696
all,bertimbau,delivery,negative,1,received,542,2,27696
all,bertimbau,delivery,negative,1,time,504,3,27696
all,bertimbau,delivery,negative,1,deadline,454,4,27696
all,bertimbau,delivery,negative,1,bought,371,5,27696
all,bertimbau,delivery,negative,1,deliver,323,6,27696
all,bertimbau,delivery,negative,1,still,318,7,27696
all,bertimbau,delivery,negative,1,only,310,8,27696
all,bertimbau,delivery,negative,1,did,292,9,27696
all,bertimbau,delivery,negative,1,didn't,259,10,27696
all,bertimbau,delivery,negative,1,one,259,11,27696
all,bertimbau,delivery,negative,1,arrived,257,12,27696
all,bertimbau,delivery,negative,1,been,238,13,27696
all,bertimbau,delivery,negative,1,already,228,14,27696
all,bertimbau,delivery,negative,1,receive,228,15,27696
all,bertimbau,delivery,negative,1,days,226,16,27696
all,bertimbau,delivery,negative,1,store,225,17,27696
all,bertimbau,delivery,negative,1,purchase,222,18,27696
all,bertimbau,delivery,negative,1,post,220,19,27696
all,bertimbau,delivery,negative,1,office,217,20,27696
all,bertimbau,delivery,negative,1,until,215,21,27696
all,bertimbau,delivery,negative,1,because,207,22,27696
all,bertimbau,delivery,negative,1,shipping,206,23,27696
all,bertimbau,delivery,negative,1,waiting,204,24,27696
all,bertimbau,delivery,negative,1,delay,196,25,27696
all,bertimbau,delivery,negative,1,long,194,26,27696
all,bertimbau,delivery,negative,1,haven't,186,27,27696
all,bertimbau,delivery,negative,1,paid,179,28,27696
all,bertimbau,delivery,negative,1,even,176,29,27696
all,bertimbau,delivery,negative,1,would,173,30,27696
all,bertimbau,delivery,negative,1,came,171,31,27696
all,bertimbau,delivery,negative,1,far,169,32,27696
all,bertimbau,delivery,negative,1,i'm,164,33,27696
all,bertimbau,delivery,negative,1,will,160,34,27696
all,bertimbau,delivery,negative,1,made,159,35,27696
all,bertimbau,delivery,negative,1,it's,158,36,27696
all,bertimbau,delivery,negative,1,don't,157,37,27696
all,bertimbau,delivery,negative,1,date,153,38,27696
all,bertimbau,delivery,negative,1,lannister,150,39,27696
all,bertimbau,delivery,negative,1,there,143,40,27696
all,bertimbau,delivery,negative,1,products,135,43,27696
all,bertimbau,delivery,negative,1,two,135,41,27696
all,bertimbau,delivery,negative,1,yet,135,42,27696
all,bertimbau,delivery,negative,1,arrive,131,44,27696
all,bertimbau,delivery,negative,1,sent,128,45,27696
all,bertimbau,delivery,negative,1,know,126,46,27696
all,bertimbau,delivery,negative,1,what,126,47,27696
all,bertimbau,delivery,negative,1,recommend,124,48,27696
all,bertimbau,delivery,negative,1,now,123,49,27696
all,bertimbau,delivery,negative,1,like,119,50,27696
all,bertimbau,delivery,negative,1,after,118,51,27696
all,bertimbau,delivery,negative,1,when,116,52,27696
all,bertimbau,delivery,negative,1,late,115,53,27696
all,bertimbau,delivery,negative,1,nothing,113,54,27696
all,bertimbau,delivery,negative,1,want,113,55,27696
all,bertimbau,delivery,negative,1,buy,112,56,27696
all,bertimbau,delivery,negative,1,any,109,58,27696
all,bertimbau,delivery,negative,1,company,109,57,27696
all,bertimbau,delivery,negative,1,today,106,59,27696
all,bertimbau,delivery,negative,1,about,100,60,27696
all,bertimbau,delivery,negative,1,before,98,61,27696
all,bertimbau,delivery,negative,1,problem,97,62,27696
all,bertimbau,delivery,negative,1,passed,94,63,27696
all,bertimbau,delivery,negative,1,does,93,65,27696
all,bertimbau,delivery,negative,1,return,93,64,27696
all,bertimbau,delivery,negative,1,another,92,66,27696
all,bertimbau,delivery,negative,1,more,92,67,27696
all,bertimbau,delivery,negative,1,email,88,68,27696
all,bertimbau,delivery,negative,1,day,87,69,27696
all,bertimbau,delivery,negative,1,pick,87,70,27696
all,bertimbau,delivery,negative,1,response,83,71,27696
all,bertimbau,delivery,negative,1,without,82,72,27696
all,bertimbau,delivery,negative,1,which,81,73,27696
all,bertimbau,delivery,negative,1,than,80,74,27696
all,bertimbau,delivery,negative,1,other,79,77,27696
all,bertimbau,delivery,negative,1,period,79,75,27696
all,bertimbau,delivery,negative,1,took,79,76,27696
all,bertimbau,delivery,negative,1,gave,76,78,27696
all,bertimbau,delivery,negative,1,purchased,75,79,27696
all,bertimbau,delivery,negative,1,good,72,80,27696
all,bertimbau,delivery,negative,1,missing,72,81,27696
all,bertimbau,delivery,negative,1,give,71,82,27696
all,bertimbau,delivery,negative,1,need,70,83,27696
all,bertimbau,delivery,negative,1,website,70,84,27696
all,bertimbau,delivery,negative,1,get,69,86,27696
all,bertimbau,delivery,negative,1,since,69,85,27696
all,bertimbau,delivery,negative,1,never,66,87,27696
all,bertimbau,delivery,negative,1,goods,65,88,27696
all,bertimbau,delivery,negative,1,customer,64,89,27696
all,bertimbau,delivery,negative,1,bad,63,90,27696
all,bertimbau,delivery,negative,1,i've,62,91,27696
all,bertimbau,delivery,negative,1,information,61,94,27696
all,bertimbau,delivery,negative,1,invoice,61,93,27696
all,bertimbau,delivery,negative,1,money,61,92,27696
all,bertimbau,delivery,negative,1,contact,60,95,27696
all,bertimbau,delivery,negative,1,month,59,96,27696
all,bertimbau,delivery,negative,1,out,59,97,27696
all,bertimbau,delivery,negative,1,should,58,99,27696
all,bertimbau,delivery,negative,1,within,58,98,27696
all,bertimbau,delivery,negative,1,always,57,100,27696
all,bertimbau,delivery,negative,1,same,57,102,27696
all,bertimbau,delivery,negative,1,targaryen,57,101,27696
all,bertimbau,delivery,negative,1,back,56,103,27696
all,bertimbau,delivery,negative,1,wrong,56,104,27696
all,bertimbau,delivery,negative,1,home,55,105,27696
all,bertimbau,delivery,negative,1,ordered,54,106,27696
all,bertimbau,delivery,negative,1,happened,53,107,27696
all,bertimbau,delivery,negative,1,satisfaction,53,108,27696
all,bertimbau,delivery,negative,1,addition,52,110,27696
all,bertimbau,delivery,negative,1,expired,52,109,27696
all,bertimbau,delivery,negative,1,lack,52,111,27696
all,bertimbau,delivery,negative,1,first,50,112,27696
all,bertimbau,delivery,negative,1,cancel,49,114,27696
all,bertimbau,delivery,negative,1,however,49,113,27696
all,bertimbau,delivery,negative,1,absurd,48,115,27696
all,bertimbau,delivery,negative,1,almost,46,116,27696
all,bertimbau,delivery,negative,1,quality,46,117,27696
all,bertimbau,delivery,negative,1,expected,45,118,27696
all,bertimbau,delivery,negative,1,forecast,45,119,27696
all,bertimbau,delivery,negative,1,said,45,120,27696
all,bertimbau,delivery,negative,2,post office,217,1,25184
all,bertimbau,delivery,negative,2,haven't received,142,2,25184
all,bertimbau,delivery,negative,2,still haven't,114,3,25184
all,bertimbau,delivery,negative,2,been delivered,80,4,25184
all,bertimbau,delivery,negative,2,long time,72,5,25184
all,bertimbau,delivery,negative,2,did receive,69,6,25184
all,bertimbau,delivery,negative,2,paid shipping,67,8,25184
all,bertimbau,delivery,negative,2,until now,67,7,25184
all,bertimbau,delivery,negative,2,i'm waiting,61,9,25184
all,bertimbau,delivery,negative,2,didn't receive,59,10,25184
all,bertimbau,delivery,negative,2,until today,59,11,25184
all,bertimbau,delivery,negative,2,delivered time,57,12,25184
all,bertimbau,delivery,negative,2,pick post,57,13,25184
all,bertimbau,delivery,negative,2,before deadline,55,14,25184
all,bertimbau,delivery,negative,2,would like,53,15,25184
all,bertimbau,delivery,negative,2,did arrive,52,16,25184
